Local authority,Region,Number of students,Overall education or employment / training destination,Any education destination,Further education college,Independent school,Other further education provider,School sixth form - state funded,Sixth form college,Specialist provision,Apprentice-ships,UK higher education institution,Top third of HEIs,Oxford or Cambridge,Russell Group (incl. Ox. and Cam.),All other HEIs,Other HE providers,Sustained education combination destination,Sustained Employment and/or Training destination,Employment with training,Other employment,Other training,Education / employment / training combination destination,Destination not sustained,Destination not sustained / recorded NEET,Activity not captured in data,Recorded as UCAS acceptance for deferred entry
City of London,Inner London,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Barking and Dagenham,Outer London,870,0.77,0.74,0.06,0,0.03,0.03,x,0,0.03,0.62,0.18,0,0.08,0.44,x,x,0.02,0.01,0.01,0,0.01,0.08,0.01,0.13,*
Barnet,Outer London,1880,0.77,0.75,0.04,0.01,0.02,0.02,0,0,0.01,0.66,0.39,0.03,0.27,0.27,-,x,0.02,0.01,0.01,x,-,0.04,0.01,0.18,*
Bexley,Outer London,1500,0.86,0.76,0.04,-,0.08,0.03,0,0,0.06,0.61,0.31,0.01,0.15,0.3,-,0,0.09,0.06,0.02,x,0.02,0.05,0.01,0.08,*
Brent,Outer London,1280,0.8,0.79,0.04,0.01,0.02,0.02,x,0,0.01,0.72,0.35,0.01,0.21,0.37,x,0,0.01,-,-,0,x,0.04,0.01,0.15,*
Bromley,Outer London,2320,0.79,0.7,0.04,x,0.05,0.02,0,-,0.04,0.59,0.31,0.01,0.19,0.27,0.01,x,0.08,0.02,0.05,x,0.01,0.06,0.03,0.13,*
Camden,Inner London,940,0.7,0.67,0.04,-,0.06,0.03,0.01,0,0.02,0.53,0.21,0.02,0.15,0.32,-,0,0.02,-,0.02,0,0.01,0.06,0.01,0.22,*
Croydon,Outer London,1500,0.71,0.67,0.03,0,0.03,0.03,x,0,0.02,0.58,0.2,x,0.08,0.38,0.01,x,0.04,0.01,0.03,0,-,0.08,0.02,0.2,0.02
Ealing,Outer London,1330,0.78,0.77,0.04,0.02,0.02,0.03,x,0,0.01,0.67,0.29,0.01,0.17,0.37,0.01,0,0.01,0.01,x,0,0,0.06,0.02,0.15,*
Enfield,Outer London,1620,0.83,0.78,0.05,x,0.02,0.05,0,0,0.03,0.65,0.28,0.02,0.16,0.38,-,0,0.04,0.01,0.03,0,-,0.05,0.03,0.1,*
Greenwich,Outer London,760,0.75,0.7,0.04,x,0.06,0.04,0,0,0.04,0.56,0.16,-,0.08,0.39,-,0,0.04,0.02,0.02,0,0.01,0.07,0.03,0.15,*
Hackney,Inner London,460,0.81,0.78,0.05,0,0.04,0.02,x,0,0.03,0.67,0.28,0.02,0.17,0.39,x,0,0.02,0.01,0.02,0,x,0.05,0.02,0.13,*
Hammersmith and Fulham,Inner London,710,0.78,0.77,0.02,0.02,0.03,0.04,x,0,0.01,0.66,0.27,0.01,0.19,0.38,-,0,0.01,0,0.01,0,0,0.03,0.01,0.18,0.05
Haringey,Inner London,880,0.78,0.74,0.02,-,0.04,0.07,x,0,0.02,0.6,0.19,0.01,0.1,0.41,-,0,0.04,0.01,0.03,0,-,0.05,0.01,0.16,*
Harrow,Outer London,680,0.83,0.82,0.03,-,0.01,0.01,0,0,-,0.78,0.33,x,0.18,0.44,x,0,0.01,-,0.01,0,0,0.04,0.01,0.12,*
Havering,Outer London,630,0.83,0.73,0.05,x,0.04,0.01,x,0,0.04,0.63,0.34,0.01,0.17,0.29,0,0,0.09,0.06,0.04,0,0.01,0.05,0.02,0.1,0.03
Hillingdon,Outer London,1470,0.79,0.71,0.05,-,0.04,0.04,0,0,0.03,0.57,0.25,0.01,0.12,0.32,0.01,0,0.08,0.05,0.02,x,-,0.06,0.01,0.14,*
Hounslow,Outer London,1380,0.77,0.74,0.04,0.01,0.03,0.03,0,0,0.03,0.64,0.29,0.01,0.15,0.34,0.01,x,0.02,-,0.02,-,x,0.06,0.02,0.15,*
Islington,Inner London,260,0.71,0.71,0.03,0,0.02,0.06,x,0,x,0.6,0.18,0,0.09,0.41,x,0,0,0,0,0,0,0.09,x,0.19,*
Kensington and Chelsea,Inner London,300,0.82,0.8,0.02,0.01,0.01,x,x,0,0.01,0.75,0.59,0.04,0.42,0.16,0,0,0.02,x,0.01,0,x,0.03,0.02,0.13,*
Kingston upon Thames,Outer London,990,0.76,0.72,0.03,0.01,0.04,0.04,0,0,0.01,0.61,0.37,0.04,0.26,0.23,0.01,0,0.04,0.01,0.03,0,-,0.05,0.03,0.16,*
Lambeth,Inner London,440,0.75,0.73,0.03,x,0.05,0.02,x,0,0.04,0.62,0.23,0.01,0.11,0.39,0,0,0.01,0.01,0.01,0,0.01,0.09,0.01,0.14,*
Lewisham,Inner London,730,0.74,0.69,0.05,0,0.07,0.06,0.01,0,0.03,0.49,0.19,0.01,0.11,0.29,-,0,0.05,0.02,0.03,0,0.01,0.06,0.02,0.17,*
Merton,Outer London,330,0.77,0.74,0.02,0,0.03,0.01,0,0,0.01,0.68,0.29,0.01,0.18,0.39,x,0,0.02,0.02,x,0,x,0.07,0.02,0.15,*
Newham,Inner London,370,0.9,0.88,0.02,0.01,0.03,0.02,x,0,0.03,0.8,0.25,x,0.14,0.54,0.01,x,0.02,0.01,x,0,x,0.02,0.01,0.06,0.02
Redbridge,Outer London,2330,0.84,0.79,0.03,-,0.02,0.02,-,0,0.03,0.71,0.36,0.01,0.21,0.35,-,0,0.04,0.02,0.02,x,0.01,0.04,0.02,0.1,*
Richmond upon Thames,Outer London,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Southwark,Inner London,480,0.75,0.71,0.03,0.01,0.07,0.02,x,x,0.05,0.57,0.21,x,0.1,0.35,0.01,0,0.03,0,0.03,0,0.01,0.06,0.04,0.15,*
Sutton,Outer London,1750,0.81,0.77,0.03,-,0.04,0.03,0,0,0.02,0.67,0.45,0.03,0.31,0.21,-,x,0.04,0.01,0.03,0,-,0.05,0.01,0.12,*
Tower Hamlets,Inner London,830,0.81,0.78,0.03,x,0.04,0.03,-,0,0.06,0.67,0.25,0,0.12,0.42,-,0,0.02,0.02,-,x,0.01,0.07,0.02,0.09,*
Waltham Forest,Outer London,520,0.77,0.68,0.02,0,0.04,0.06,x,0,0.04,0.57,0.19,0.01,0.11,0.38,0,0,0.08,0.03,0.04,0,0.01,0.07,0.02,0.14,*
Wandsworth,Inner London,1020,0.78,0.75,0.04,0.01,0.05,0.03,0,0,0.03,0.62,0.26,0.01,0.17,0.35,-,x,0.02,0.01,0.02,0,0.01,0.06,0.02,0.14,0.03
Westminster,Inner London,720,0.8,0.78,0.04,0.01,0.06,0.04,-,0,0.02,0.63,0.3,0.01,0.19,0.33,-,0,0.02,x,0.01,0,x,0.05,0.01,0.14,*
Inner London,.,8140,0.78,0.75,0.03,0.01,0.05,0.04,-,x,0.03,0.62,0.25,0.01,0.15,0.36,-,x,0.02,0.01,0.02,x,0.01,0.06,0.02,0.15,.
Outer London,.,23150,0.79,0.75,0.04,-,0.03,0.03,-,-,0.03,0.64,0.31,0.01,0.18,0.33,-,-,0.04,0.02,0.02,-,0.01,0.05,0.02,0.13,.
North East,.,7280,0.83,0.76,0.07,x,0.05,0.04,-,x,0.07,0.6,0.2,0.01,0.17,0.38,0.03,-,0.06,0.03,0.02,-,0.01,0.08,0.02,0.07,.
North West,.,16660,0.81,0.74,0.06,-,0.04,0.04,-,x,0.05,0.6,0.23,0.01,0.19,0.35,0.01,-,0.06,0.04,0.02,-,0.01,0.07,0.02,0.1,.
Yorkshire and the Humber,.,15850,0.82,0.74,0.07,-,0.04,0.03,-,0,0.05,0.6,0.2,0.01,0.16,0.39,0.02,-,0.07,0.04,0.03,-,0.01,0.06,0.02,0.1,.
East Midlands,.,16400,0.8,0.73,0.07,-,0.04,0.03,-,x,0.06,0.59,0.22,0.01,0.15,0.35,0.01,-,0.06,0.03,0.03,-,0.01,0.08,0.02,0.1,.
West Midlands,.,17590,0.79,0.74,0.07,-,0.03,0.03,-,0,0.05,0.62,0.25,0.01,0.16,0.36,0.01,-,0.04,0.02,0.02,-,0.01,0.07,0.02,0.12,.
East of England,.,22240,0.81,0.69,0.06,-,0.03,0.03,-,0,0.05,0.57,0.27,0.01,0.16,0.3,0.01,-,0.1,0.04,0.06,-,0.01,0.06,0.02,0.12,.
South East,.,27710,0.77,0.68,0.06,-,0.04,0.03,-,0,0.04,0.55,0.3,0.01,0.17,0.25,0.01,-,0.08,0.05,0.03,-,0.01,0.06,0.02,0.16,.
South West,.,17610,0.74,0.65,0.08,-,0.03,0.04,-,0,0.05,0.49,0.23,0.01,0.16,0.25,0.01,-,0.08,0.04,0.05,-,0.01,0.08,0.02,0.16,.
ENGLAND  -  Mainstream schools (state-funded only),.,172640,0.79,0.72,0.06,-,0.04,0.03,-,-,0.05,0.58,0.26,0.01,0.17,0.32,0.01,-,0.07,0.03,0.03,-,0.01,0.07,0.02,0.13,0.03
